Algorithm,Setting,Mean (all),Std (all),Mean (last 10%),Std (last 10%),N (all),N (last)
A2C,A2C,372.123636,154.985622,484.467272,28.982902,2200,220
PPO,PPO,477.250818,67.076129,499.702727,2.733793,2200,220
