Algorithm,Setting,Mean (all),Std (all),Mean (last 10%),Std (last 10%),N (all),N (last)
DQN,"DQN, ER_active=True, ER_batch_size=64, ER_sample_train_frequency=1, TN_active=True, TN_step=100, epsilon_end=0.05000000074505806, epsilon_start=0.05000000074505806, eval_interval=250, eval_with_env_episode_trials=True, exploration_method=egreedy, gamma=0.99, learning_rate=0.0010000000474974513, max_episode_length=1000, max_eval_episode_length=20000, n_eval_episodes=3, n_repetitions=5, n_timesteps=500000, nn_hidden_layer_widths=[128, 128]",10416.804666,9667.195872,14323.049998,8716.488035,10000,1000
A2C,"A2C, TN_step=10, actor_hidden_nn=[64, 64], actor_lr=9.999999747378752e-05, critic_hidden_nn=[128, 128], critic_lr=0.009999999776482582, eval_interval=250, eval_with_env_episode_trials=True, gamma=0.9900000095367432, max_eval_episode_length=20000, max_train_episode_length=1000, n_eval_episodes=3, n_repetitions=5, n_timesteps=500000",5683.195633,5190.304185,9319.283669,5452.427088,10000,1000
PPO,"PPO, actor_hidden_nn=[64, 64], actor_lr=0.0003000000142492354, clip_eps=0.20000000298023224, critic_hidden_nn=[128, 128], critic_lr=0.0010000000474974513, eval_interval=250, eval_with_env_episode_trials=True, gae_lambda=0.949999988079071, gamma=0.9900000095367432, max_eval_episode_length=20000, max_train_episode_length=1000, n_epochs=10, n_eval_episodes=3, n_repetitions=5, n_timesteps=500000, rollout_steps=2048",13438.687932,8190.817647,20000.000000,0.000000,10000,1000
