Algorithm,Setting,Mean (all),Std (all),Mean (last 10%),Std (last 10%),N (all),N (last)
DQN,DQN,409.568090,141.298887,405.663900,140.025694,20000,2000
A2C,A2C,500.000000,0.000000,500.000000,0.000000,20000,2000
PPO,PPO,486.579350,49.283368,488.621100,46.424246,20000,2000
