Algorithm,Setting,Mean (all),Std (all),Mean (last 10%),Std (last 10%),N (all),N (last)
DQN,DQN,12894.443617,9207.802980,14316.437500,8648.737740,20000,2000
A2C,A2C,7710.920616,5598.507426,12031.370668,5284.827074,20000,2000
PPO,PPO,17350.349100,6004.584267,17898.771166,5667.030810,20000,2000
