Algorithm,Setting,Mean (all),Std (all),Mean (last 10%),Std (last 10%),N (all),N (last)
DQN,DQN,13001.590584,9003.859986,12085.814668,9103.729652,20000,2000
A2C,A2C,13351.208550,5468.821175,16722.039163,4512.989714,20000,2000
PPO,PPO,19126.414683,3835.519181,20000.000000,0.000000,20000,2000
